Image,Duration
C48,247.096
C4,245.749
C58,270.778
C20,248.204
C21,232.028
C17,256.193
C29,237.291
C13,226.554
C30,249.133
C16,257.576
C59,240.838
C5,265.539
C24,258.503
C7,253.766
C18,274.767
C11,265.378
C54,234.962
C33,269.84
C3,258.379
C8,256.334
C40,245.125
C41,252.654
C47,260.882
C46,260.165
C19,257.201
C10,257.937
C34,264.181
C49,260.727
C2,249.636
C53,249.715
C35,276.99
C14,225.759
C45,253.677
C56,281.274
C36,250.339
C39,245.956
C60,250.954
C44,285.027
C43,250.129
C51,289.206
C55,268.069
C28,258.967
C31,261.899
C57,252.981
C15,227.829
C37,243.696
C52,258.422
C23,251.238
C22,247.541
C12,255.895
C42,245.303
C38,255.027
C50,241.797
C27,247.529
C25,247.8
C32,268.853
C26,271.323
C1,273.894
C6,241.099
C9,250.235
