x,y
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
"[52105.2778555922, 32597.3860483569]","[32627.7076507786, 68305.2096967479]"
