x,y,user
48744.9302803209,25318.9620642772,P1
22235.521630958,19471.3393762132,P1
20368.6618669183,15738.8142561723,P1
20866.4911373289,18724.834352205,P1
17941.7441736668,13810.3429441512,P1
17941.7441736668,18289.3730882002,P1
21364.3204077394,17791.7030721948,P1
23853.4667597923,16049.8580161757,P1
23666.7807833883,14121.3867041546,P1
19808.6039377064,11695.245376128,P1
38850.5735309108,63079.6745286906,P1
35988.05522605,59595.9844166525,P1
55652.3114072675,38009.5474724161,P1
48993.8449155261,18787.0431042057,P1
54843.3388428504,37263.042448408,P1
35925.8265672486,60404.6981926614,P1
23231.1801717791,18973.6693602077,P1
20928.7197961302,16174.2755201771,P1
19373.0033260972,13996.9692001532,P1
27715.4593223218,14951.6483257684,P1
24310.0944067956,15710.4084333409,P1
22190.7478470976,15563.0227925931,P1
21839.4177479943,17132.4850837727,P1
27751.4244832468,16443.9279383405,P1
30096.5478206701,17870.22488245,P1
28243.4084001887,15771.7650106567,P1
35139.3829693251,17427.5810032436,P1
27735.0250193487,16853.7833820501,P1
23848.3520755073,16140.6349099953,P1
22077.2099745162,16058.6638212534,P1
23355.6374893817,42053.1163524604,P2
20244.2045493157,17605.0768161927,P2
21661.4998017933,17828.7523811162,P2
57941.0920320906,11551.3495936137,P2
18963.544434167,16884.867468177,P2
16973.2015781028,16746.6934299759,P2
17581.3618952336,15475.4922785256,P2
19599.3484020764,15005.7005486418,P2
22253.1388768286,21444.610728814,P2
19212.337291175,24705.5180303605,P2
44506.2777536573,21251.1670753324,P2
57270.2565361019,40684.5238084454,P2
32627.7076507786,59284.9406566491,P2
35863.5979084473,60777.9507046654,P2
46814.9894100991,60714.6868792453,P2
37194.9989391222,67402.3103281796,P2
36653.329517697,64380.661214367,P2
37365.7319716847,64210.8349735824,P2
35776.5264974044,63652.0518587426,P2
34570.9223445021,63054.9208830805,P2
34505.1621179801,62315.3549957925,P2
36203.967969797,62852.2250473052,P2
38105.5345200566,63443.8777571356,P2
37212.2914431335,63821.8780995272,P2
37411.1958319962,64459.5076625975,P2
37247.2011930155,64741.942701035,P2
37983.3909882019,64487.5076879598,P2
36920.8762170835,63071.5585793103,P2
37839.2461953751,62596.1262646071,P2
37240.6657630958,66014.3206651455,P2
37322.6630825861,63563.3851117618,P2
37273.4646908919,63620.7648738812,P2
35321.9284870221,64055.2116442134,P2
35904.1094554034,63940.4521199747,P2
38068.838689948,63924.0579022263,P2
37790.0478036809,63842.0868134844,P2
38118.0370816422,63448.6255875231,P2
58763.7443473336,44603.6751844883,P3
80606.0035865974,12628.3766561382,P3
55714.5400660688,14867.8917281627,P3
45135.6680698442,18973.6693602077,P3
22484.4362661632,19409.1306242125,P3
19684.1466201038,15489.9792481696,P3
36485.8844964605,57729.7218566321,P3
57456.9425125058,53126.2742085817,P3
51731.9059027843,12441.7504001362,P3
19373.0033260972,15303.3529921675,P3
17506.1435620575,17480.6593121914,P3
20617.5765021236,14619.05672016,P3
20679.8051609249,14619.05672016,P3
54221.0522548371,16360.9017761791,P3
47002.5278338839,52690.8129445769,P3
58763.7443473336,50575.7153765537,P3
52603.1071260028,16734.1542881832,P3
20493.1191845209,17418.4505601907,P3
19559.6893025011,14681.2654721607,P3
19808.6039377064,15116.7267361655,P3
21170.2059613025,14816.3148698504,P3
21938.6263860311,13674.8471692456,P3
20739.8418121755,12865.4435375394,P3
21080.9019499764,16687.6093184867,P3
18989.9703029731,13138.2611759612,P3
23426.0252873997,13285.8091356966,P3
24090.2035752713,13310.4004623192,P3
17423.8215007078,12187.3965465548,P3
21007.1043624351,14187.4911118578,P3
20055.9354563473,15130.15863239,P3
17374.6231090136,14999.0048904029,P3
20941.5065068428,16736.7919717318,P3
19826.3429617744,13564.5108374192,P3
17374.6231090136,14121.9142408643,P3
20072.3349202454,15294.1008098739,P3
20342.9260745634,13277.6120268224,P3
24631.3858839075,14253.0679828514,P3
21367.8925681925,13867.8038657643,P3
81975.0340802265,26687.5546082922,P4
49989.5034563473,32286.3422883535,P4
57892.5431241151,31539.8372643453,P4
31383.1344747522,28553.8171683126,P4
45011.2107522416,59658.1931686532,P4
44015.5522114204,56921.0080806232,P4
28769.5308050967,28056.1471523072,P4
34992.3966852288,30979.9584963392,P4
42210.9211061821,33592.7260803678,P4
39037.2595073147,35956.6586563937,P4
29827.4180047192,28118.3559043078,P4
28721.63138084,28798.7971003596,P4
21107.8555243039,13178.9220823569,P4
22434.75076168,14505.3928490877,P4
22342.6052590844,14265.8911828724,P4
41361.4369948088,9549.55067894083,P4
41472.0115979235,9881.16837062352,P4
20831.4190165172,13731.6182351614,P4
19467.6655781028,13473.6933638526,P4
24867.3920302029,14136.928747218,P4
21771.3031429919,13547.3861842266,P4
28110.9137215667,15444.9763088553,P4
23300.9184860783,15573.9387445097,P4
21052.5682227465,17803.1465608211,P4
21218.4301274186,15942.4028463793,P4
41214.0041906559,10876.0214456716,P4
41453.5824974044,11852.4513156261,P4
22361.0343596035,13731.6182351614,P4
43393.2656234072,37200.8336964073,P5
20928.7197961302,21710.8544482377,P5
22111.0643133553,17045.1980481866,P5
20057.5185729117,15116.7267361655,P5
20838.3603737612,16539.1686043193,P5
20230.2000566304,14438.9232236623,P5
25462.8874148183,12128.8399717753,P5
20880.2114808872,13264.951145789,P5
22004.7519471448,17538.7695097549,P5
22459.8370703161,17280.5605802179,P5
20368.9054233128,13149.2177076247,P5
19910.5322888154,13542.4760348514,P5
21768.2586880604,16057.0000516304,P5
21426.670844738,13788.5921998117,P5
19052.8484454931,11833.5817333167,P5
17576.8966946672,13259.8786774263,P5
19594.0307541293,17932.2307357162,P5
22558.2338537045,16530.5251182292,P5
23984.9872128362,13764.0008731892,P5
20737.8933610193,11870.4687232506,P5
19028.249249646,11415.5291807329,P5
17982.7834261444,11194.2072411297,P5
33898.4631392166,10763.8590252346,P5
27109.0850854176,15866.5592994196,P5
28068.4537234544,16272.3161886922,P5
29741.199041057,17870.7524191598,P5
20493.1191845209,23639.3257602588,P6
19746.3752789051,16423.1105281798,P6
20057.5185729117,17791.7030721948,P6
36236.9698612553,58476.2268806402,P6
57768.0858065125,19284.7131202111,P6
41899.7778121755,19969.0093922186,P6
20181.9758905143,21773.0632002384,P6
16634.942338839,18600.4168482036,P6
16386.0277036337,17729.4943201941,P6
18315.1161264747,15614.3967521709,P6
27089.357017461,20902.1406722288,P6
26529.2990882491,19222.5043682104,P6
27027.1283586597,20342.2619042227,P6
23915.6954185936,22332.9419682445,P6
22111.0643133553,21337.6019362336,P6
33498.9088739971,59284.9406566491,P6
32876.6222859839,61586.6644806743,P6
31818.7350863614,64634.8933287077,P6
35490.2259556394,61586.6644806743,P6
27462.7289702689,75832.4686888303,P6
35925.8265672486,61400.0382246722,P6
50113.9607739499,25318.9620642772,P6
60070.5461821613,26500.9283522901,P6
54096.5949372345,23266.0732482547,P6
31196.4484983482,25692.2145762813,P7
31320.9058159509,26936.3896162949,P7
35676.9119320434,31353.2110083432,P7
41902.7275507314,57723.1208844694,P7
41788.1342671071,52297.4464046917,P7
