x,y,user
40679.072196319,107040.035931067,P1
24705.9788957055,124854.446502091,P1
17180.1945521472,131150.919203918,P1
44581.1068315243,123080.93325639,P1
17893.0285455403,135229.312099821,P1
24708.9325002359,144707.338264508,P1
21616.2316564417,145859.408924934,P1
46206.2354242567,128032.631337288,P1
41961.3519131665,127456.596007075,P1
38504.8039112789,131913.290403986,P1
20442.9122567248,147155.546099894,P1
20262.742380368,148238.859839546,P1
21654.6285153374,145797.296968316,P1
23862.4479018404,145203.403296935,P1
17586.9612760736,145407.366780036,P1
16621.0402944785,144885.460220338,P1
25138.5435092024,142552.062598968,P1
28628.7810627654,139776.313405427,P1
32040.2404454931,128875.988037999,P1
29803.254214252,127568.960505117,P1
30288.3837583765,129199.376293557,P1
29864.8184086833,118325.123181321,P1
25377.3701255309,118783.256543362,P1
41090.0847267579,112225.04608675,P1
24572.14369042,108949.078758185,P1
20158.2586201038,97983.6881167359,P1
5961.0200434167,104808.620051247,P1
5915.51607361963,108903.579211955,P1
26164.7826333176,105907.900163106,P1
10147.3852647475,110139.357962504,P1
6188.53989240207,110958.349794645,P1
6471.94747711184,111586.022033815,P1
19839.7308315243,125036.075522336,P1
12559.0956639924,126628.559640388,P1
10498.0796526663,130409.267371251,P1
9168.63456347333,128166.914987926,P1
10487.1882359603,129057.386330321,P1
11093.0925153374,129877.947112333,P1
10265.1602453987,129554.005109762,P1
9671.20883435582,133657.270475663,P1
37324.6543010854,144874.616008001,P1
36324.0746163284,143480.004155906,P1
35960.227458235,143722.545347575,P1
39376.7325820355,140416.398806804,P1
42778.4850665408,135930.924947081,P1
45905.2446625766,134078.395079006,P1
45089.3114110429,134078.395079006,P1
45677.2633128834,134786.268343883,P1
49224.1731533742,128293.630762721,P1
48852.203582822,127817.915933019,P1
48768.2104539877,127817.915933019,P1
48360.2438282208,128453.802086215,P1
54795.9173496932,125775.281639029,P1
55053.8962453987,126675.12053506,P1
55011.8996809816,126903.079722055,P1
65801.1401302501,132209.222036819,P1
64689.3849249646,127378.609969419,P1
49362.2541651722,149126.70088363,P1
49443.109089193,150460.677437808,P1
54877.7875752713,166461.981851706,P1
54786.7796356772,168145.465062219,P1
55560.3471222274,167462.971868768,P1
54513.7558168947,190638.57643676,P1
34542.774184049,162442.193848006,P1
33782.6363680981,162567.894419944,P1
35680.8810797546,162870.840181608,P1
31571.2172760736,160981.178499943,P1
40382.6041415762,158674.683754285,P1
41501.0972571968,157084.691497791,P1
56997.5987767815,153175.376023172,P1
54949.2740349221,154468.929045405,P1
50340.5433657385,154563.250619943,P1
66342.9881113733,166091.202080957,P1
71585.0823520528,172478.120128232,P1
71792.388470033,181150.582825841,P1
79638.9619556394,175321.749476443,P1
79548.0001661161,185720.703069237,P1
80920.0879207173,186017.511468174,P1
77039.0515677206,182682.57008273,P1
76525.5397300613,183647.520398366,P1
75607.6148220858,185215.639647849,P1
78163.4057423312,183997.85767522,P1
81185.635428032,183714.800660438,P1
89652.4197149598,180138.887033195,P1
85915.4638829636,183676.776698883,P1
92058.4998055686,181674.796664759,P1
75267.5349504483,177854.496022471,P1
90010.8211647003,179810.976510365,P1
93787.6506578574,181084.963804807,P1
89457.897166588,179673.69339674,P1
45440.2826993865,89379.1978649655,P2
47129.7444907975,109343.623504906,P2
55116.2911411042,170004.762949341,P2
17026.6071165644,130536.629184228,P2
22862.9296687116,136065.239361442,P2
13647.6835337423,139136.689459894,P2
17333.78198773,107654.325950757,P2
33455.3862161397,99754.1096082808,P2
20077.2190957999,103849.068768987,P2
28667.5009721566,99251.7687763734,P2
20966.1617593204,99119.5616770334,P2
19019.0441226993,97487.3462108021,P2
20437.3280981595,97897.0728547948,P2
16081.6844171779,96541.9154773722,P2
15809.9066503067,95780.0518787326,P2
15424.1382085889,95588.2246843326,P2
15236.7689211892,95320.5802947439,P2
15269.8123718735,95420.1624659046,P2
16030.9193393109,95800.6789549647,P2
17547.7337159037,95082.053768919,P2
18250.9684945729,95336.0852111062,P2
19613.0878338839,96345.8428892062,P2
18261.3522605002,95866.7594318425,P2
17885.7368343558,95357.7274901954,P2
17696.1523435582,95321.7339343542,P2
17602.5599999999,95290.5395192918,P2
17736.3029051439,95319.3805095492,P2
17661.5397904672,95102.1732437226,P2
17522.8126776781,94916.4372664649,P2
17462.9098857951,95076.8393178805,P2
17389.8081736668,95171.2531835871,P2
17812.1736215195,95269.727860722,P2
17956.3464426616,95283.9407007209,P2
17786.7910825861,95343.8376692874,P2
17725.4576385087,95486.8428353797,P2
16919.2620519112,96003.5810896236,P2
18389.9263577159,96295.1288919376,P2
17750.2863765927,95175.8677420283,P2
19955.42905899,97886.1363512892,P2
22536.8332685228,98228.7673155472,P2
24387.220356772,98784.5908797879,P2
26442.8829598867,101096.115494146,P2
27448.4468522888,103656.872409912,P2
28470.0709693251,105040.270884995,P2
28316.2066333176,105622.535869103,P2
28430.7511090136,105090.292698497,P2
28774.2922359603,107376.437241429,P2
29552.4285795186,110798.547635827,P2
29737.8134138744,111159.452251512,P2
30028.1435092024,113828.328271555,P2
30388.5755620575,113437.475171587,P2
30954.744630486,119474.60968902,P2
30572.6681944313,120531.251280882,P2
30278.2307428032,121911.696438563,P2
29780.7329797074,122052.486616603,P2
26868.2020122699,123537.17464947,P2
24959.7581349693,124436.321361735,P2
26213.6555582822,124219.76013409,P2
30214.7282453987,128447.803160241,P2
29507.3861104294,134867.253844526,P2
30146.7953411986,130225.37721737,P2
30304.1670825861,129920.816360252,P2
30162.0248645587,129235.554431736,P2
28492.8691042944,135277.580381116,P2
22560.4621047664,144160.466943643,P2
22667.6687192071,145624.7586282,P2
23664.7409985842,143396.342211367,P2
23781.316077395,143994.158257423,P2
22919.8327059934,143794.394022504,P2
22862.6527682869,144140.716633515,P2
20175.3802963662,144603.049243737,P2
19639.4395243039,144587.221308284,P2
18239.8463275129,144454.96806336,P2
17185.0403095799,144332.313099993,P2
16592.6580009438,144350.402169082,P2
15151.1605398773,143997.111574825,P2
12298.9938650306,142089.03780498,P2
11068.2176271826,140029.421935926,P2
9277.64103067484,137439.916321071,P2
8906.77906182161,134250.518108862,P2
8556.03852383199,131846.102433083,P2
9833.42633317602,129859.858043243,P2
9173.29572062293,129835.908484934,P2
9227.29130344502,128385.829640376,P2
9789.90681642284,127927.696278335,P2
12922.7582218027,126425.011467548,P2
17058.4506654082,123527.807095834,P2
