group,variable,value
REPORTER_ZIP,REPORTER_ZIP,1.0
REPORTER_ZIP,BUYER_ZIP,0.010650784898103295
REPORTER_ZIP,DRUG_CODE,0.06299959182466862
REPORTER_ZIP,QUANTITY,0.0033397295497628048
REPORTER_ZIP,CORRECTION_NO,-0.3800741363708845
REPORTER_ZIP,STRENGTH,-0.006255323488480982
REPORTER_ZIP,TRANSACTION_DATE,0.0063583043560365244
REPORTER_ZIP,CALC_BASE_WT_IN_GM,0.029015563626574613
REPORTER_ZIP,DOSAGE_UNIT,0.05855157886857154
REPORTER_ZIP,TRANSACTION_ID,-0.5538866360469487
REPORTER_ZIP,MME_Conversion_Factor,-0.06299959182520955
REPORTER_ZIP,Reporter_family,0.0029366469941342435
REPORTER_ZIP,dos_str,0.015129876974880718
BUYER_ZIP,REPORTER_ZIP,0.010650784898103295
BUYER_ZIP,BUYER_ZIP,1.0
BUYER_ZIP,DRUG_CODE,0.0026740183049931594
BUYER_ZIP,QUANTITY,0.0025308025155832514
BUYER_ZIP,CORRECTION_NO,-0.15205379650675457
BUYER_ZIP,STRENGTH,-6.188369049818407e-05
BUYER_ZIP,TRANSACTION_DATE,-0.0006685175861518037
BUYER_ZIP,CALC_BASE_WT_IN_GM,-0.007239421931971527
BUYER_ZIP,DOSAGE_UNIT,-0.003262531309310593
BUYER_ZIP,TRANSACTION_ID,0.008410390450586776
BUYER_ZIP,MME_Conversion_Factor,-0.0026740183049952363
BUYER_ZIP,Reporter_family,-0.010887686020169329
BUYER_ZIP,dos_str,-0.006765261889444273
DRUG_CODE,REPORTER_ZIP,0.06299959182466862
DRUG_CODE,BUYER_ZIP,0.0026740183049931594
DRUG_CODE,DRUG_CODE,1.0
DRUG_CODE,QUANTITY,-0.009087456432481452
DRUG_CODE,CORRECTION_NO,-0.3197381000384919
DRUG_CODE,STRENGTH,0.002880070297130053
DRUG_CODE,TRANSACTION_DATE,-0.004877121341043979
DRUG_CODE,CALC_BASE_WT_IN_GM,-0.2888966315014394
DRUG_CODE,DOSAGE_UNIT,-0.05285036819844874
DRUG_CODE,TRANSACTION_ID,-0.2899089011031977
DRUG_CODE,MME_Conversion_Factor,-0.9999999999999734
DRUG_CODE,Reporter_family,-0.32440785459291943
DRUG_CODE,dos_str,-0.3532660420007084
QUANTITY,REPORTER_ZIP,0.0033397295497628048
QUANTITY,BUYER_ZIP,0.0025308025155832514
QUANTITY,DRUG_CODE,-0.009087456432481452
QUANTITY,QUANTITY,1.0
QUANTITY,CORRECTION_NO,-0.40686335030962567
QUANTITY,STRENGTH,-0.0009583325273540636
QUANTITY,TRANSACTION_DATE,-0.0011716007631964638
QUANTITY,CALC_BASE_WT_IN_GM,0.07735580220724836
QUANTITY,DOSAGE_UNIT,0.13969252703566862
QUANTITY,TRANSACTION_ID,0.0020889363391362195
QUANTITY,MME_Conversion_Factor,0.009087456432468598
QUANTITY,Reporter_family,-0.007198295054392688
QUANTITY,dos_str,0.061277345833628295
CORRECTION_NO,REPORTER_ZIP,-0.3800741363708845
CORRECTION_NO,BUYER_ZIP,-0.15205379650675457
CORRECTION_NO,DRUG_CODE,-0.3197381000384919
CORRECTION_NO,QUANTITY,-0.40686335030962567
CORRECTION_NO,CORRECTION_NO,1.0
CORRECTION_NO,STRENGTH,0.0
CORRECTION_NO,TRANSACTION_DATE,0.34152851231837295
CORRECTION_NO,CALC_BASE_WT_IN_GM,0.12225401785485818
CORRECTION_NO,DOSAGE_UNIT,0.07303279056407244
CORRECTION_NO,TRANSACTION_ID,0.3935298915944775
CORRECTION_NO,MME_Conversion_Factor,0.31973810003850667
CORRECTION_NO,Reporter_family,0.029807236451098486
CORRECTION_NO,dos_str,0.1290371556602021
STRENGTH,REPORTER_ZIP,-0.006255323488480982
STRENGTH,BUYER_ZIP,-6.188369049818407e-05
STRENGTH,DRUG_CODE,0.002880070297130053
STRENGTH,QUANTITY,-0.0009583325273540636
STRENGTH,CORRECTION_NO,0.0
STRENGTH,STRENGTH,1.0
STRENGTH,TRANSACTION_DATE,0.0019448965251680109
STRENGTH,CALC_BASE_WT_IN_GM,0.002927343376410194
STRENGTH,DOSAGE_UNIT,0.003990718197754334
STRENGTH,TRANSACTION_ID,-0.0021476305168581927
STRENGTH,MME_Conversion_Factor,-0.0028800702971238335
STRENGTH,Reporter_family,-0.0005551215758310729
STRENGTH,dos_str,0.001500917341593911
TRANSACTION_DATE,REPORTER_ZIP,0.0063583043560365244
TRANSACTION_DATE,BUYER_ZIP,-0.0006685175861518037
TRANSACTION_DATE,DRUG_CODE,-0.004877121341043979
TRANSACTION_DATE,QUANTITY,-0.0011716007631964638
TRANSACTION_DATE,CORRECTION_NO,0.34152851231837295
TRANSACTION_DATE,STRENGTH,0.0019448965251680109
TRANSACTION_DATE,TRANSACTION_DATE,1.0
TRANSACTION_DATE,CALC_BASE_WT_IN_GM,0.0027704313162485047
TRANSACTION_DATE,DOSAGE_UNIT,0.004645343467126488
TRANSACTION_DATE,TRANSACTION_ID,0.008810981112073487
TRANSACTION_DATE,MME_Conversion_Factor,0.004877121341063286
TRANSACTION_DATE,Reporter_family,-0.003974431333856243
TRANSACTION_DATE,dos_str,0.0022867615607177283
CALC_BASE_WT_IN_GM,REPORTER_ZIP,0.029015563626574613
CALC_BASE_WT_IN_GM,BUYER_ZIP,-0.007239421931971527
CALC_BASE_WT_IN_GM,DRUG_CODE,-0.2888966315014394
CALC_BASE_WT_IN_GM,QUANTITY,0.07735580220724836
CALC_BASE_WT_IN_GM,CORRECTION_NO,0.12225401785485818
CALC_BASE_WT_IN_GM,STRENGTH,0.002927343376410194
CALC_BASE_WT_IN_GM,TRANSACTION_DATE,0.0027704313162485047
CALC_BASE_WT_IN_GM,CALC_BASE_WT_IN_GM,1.0
CALC_BASE_WT_IN_GM,DOSAGE_UNIT,0.5920049352828797
CALC_BASE_WT_IN_GM,TRANSACTION_ID,0.029499401777096926
CALC_BASE_WT_IN_GM,MME_Conversion_Factor,0.2888966315014405
CALC_BASE_WT_IN_GM,Reporter_family,0.4376811439962931
CALC_BASE_WT_IN_GM,dos_str,0.9904850491490483
DOSAGE_UNIT,REPORTER_ZIP,0.05855157886857154
DOSAGE_UNIT,BUYER_ZIP,-0.003262531309310593
DOSAGE_UNIT,DRUG_CODE,-0.05285036819844874
DOSAGE_UNIT,QUANTITY,0.13969252703566862
