group,variable,value
resident,TN,0.34206534422403734
amateur,TN,0.3405338389731622
moderate,TN,0.24496791131855308
advanced,TN,0.07243290548424737
resident,FP,0.25384257102934327
amateur,FP,0.3586399627387052
moderate,FP,0.3129948765719609
advanced,FP,0.07452258965999069
resident,TP,0.3762430186623076
amateur,TP,0.32393406892793897
moderate,TP,0.2024247377741452
advanced,TP,0.09739817463560822
resident,R,0.504786771105309
amateur,R,0.3024369016536118
moderate,R,0.14795474325500435
advanced,R,0.044821583986074845
resident,D,0.6666666666666666
amateur,D,0.2
moderate,D,0.13333333333333333
advanced,D,0.0
