Image,Duration
C48,23424.0
C4,23424.0
C58,23424.0
C20,23424.0
C21,23424.0
C17,23424.0
C29,23424.0
C13,23424.0
C30,23424.0
C16,23424.0
C59,23424.0
C5,23424.0
C24,23424.0
C7,23424.0
C18,23424.0
C11,23424.0
C54,23424.0
C33,23424.0
C3,23424.0
C8,23424.0
C40,23424.0
C41,23424.0
C47,23424.0
C46,23424.0
C19,23424.0
C10,23424.0
C34,23424.0
C49,23424.0
C2,23424.0
C53,23424.0
C35,23424.0
C14,23424.0
C45,23424.0
C56,23424.0
C36,23424.0
C39,23424.0
C60,23424.0
C44,23424.0
C43,23424.0
C51,23424.0
C55,23424.0
C28,23424.0
C31,23424.0
C57,23424.0
C15,23424.0
C37,23424.0
C52,23424.0
C23,23424.0
C22,23424.0
C12,23424.0
C42,23424.0
C38,23424.0
C50,23424.0
C27,23424.0
C25,23424.0
C32,23424.0
C26,23424.0
C1,23424.0
C6,23424.0
C9,23424.0
