Image,Gaze Duration
C14,275
C17,200
C10,67
C42,267
C43,117
C2,158
C20,150
C23,317
C50,200
C12,158
C13,108
C41,175
C7,75
C40,92
C52,175
C11,258
C38,192
C29,233
C39,175
C32,75
C4,125
C45,208
C9,175
C27,108
C25,92
C19,67
C49,92
C47,83
C56,83
C24,108
C30,283
C58,175
C22,325
C35,250
C48,100
C54,208
C26,158
C6,117
C16,133
C53,167
C60,175
C37,150
C3,225
C8,92
C59,92
C21,117
C57,108
C28,100
C36,375
C51,175
C44,183
C5,200
C33,283
C55,158
C18,133
C1,83
C15,358
C31,100
C46,150
C34,225
