Image,AvgDuration,Area
C48,315047,21630.025728
C4,324635,21403.533312
C58,214456,7765.753856
C20,507080,20728.774656
C21,185390,20828.913664
C17,530320,13388.218368
C29,410039,18478.53056
C13,463076,21229.469696
C30,443457,8455.716864
C16,328925,4183.81824
C59,370649,9175.04
C5,160120,10305.404928
C24,267034,21229.469696
C7,531385,21379.678208
C18,189040,21630.025728
C11,432831,21479.817216
C54,306391,22137.536512
C33,165142,11832.131584
C3,326333,17942.44608
C8,204042,21630.025728
C40,381169,7398.752256
C41,508087,21630.025728
C47,225924,21630.025728
C46,132164,10217.324544
C19,176183,13740.539904
C10,517422,20511.719424
C34,119674,21630.025728
C49,378836,21630.025728
C2,537466,9923.723264
C53,413028,9453.961216
C35,172565,14092.86144
C14,665086,21630.025728
C45,387618,21630.025728
C56,208705,20979.122176
C36,189256,21630.025728
C39,359587,21630.025728
C60,330005,20719.86176
C44,189828,21630.025728
C43,438977,11098.128384
C51,158485,21680.095232
C55,124384,15061.745664
C28,360741,6341.787648
C31,225757,21388.853248
C57,354174,21630.025728
C15,201629,20828.913664
C37,308519,6230.900736
C52,364116,21630.025728
C23,503480,8808.0384
C22,448296,10701.766656
C12,622849,21379.678208
C42,446452,10217.324544
C38,415184,21329.608704
C50,500037,19583.205376
C27,366590,13197.377536
C25,399454,9791.602688
C32,342788,20363.083776
C26,340510,21579.956224
C1,136673,7707.0336
C6,275576,21680.095232
C9,319050,8103.395328
