group,variable,value
P1,C48,630094.0
P1,C4,649270.0
P1,C58,428912.0
P1,C20,1014160.0
P1,C21,370780.0
P1,C17,1060640.0
P1,C29,820078.0
P1,C13,926152.0
P1,C30,886914.0
P1,C16,657850.0
P1,C59,741298.0
P1,C5,320240.0
P1,C24,534068.0
P1,C7,1062770.0
P1,C18,378080.0
P1,C11,865662.0
P1,C54,612782.0
P1,C33,330284.0
P1,C3,652666.0
P1,C8,408084.0
P1,C40,762338.0
P1,C41,1016174.0
P1,C47,451848.0
P1,C46,264328.0
P1,C19,352366.0
P1,C10,1034844.0
P1,C34,239348.0
P1,C49,757672.0
P1,C2,1074932.0
P1,C53,826056.0
P1,C35,345130.0
P1,C14,1330172.0
P1,C45,775236.0
P1,C56,417410.0
P1,C36,378512.0
P1,C39,719174.0
P1,C60,660010.0
P1,C44,379656.0
P1,C43,877954.0
P1,C51,316970.0
P1,C55,248768.0
P1,C28,721482.0
P1,C31,451514.0
P1,C57,708348.0
P1,C15,403258.0
P1,C37,617038.0
P1,C52,728232.0
P1,C23,1006960.0
P1,C22,896592.0
P1,C12,1245698.0
P1,C42,892904.0
P1,C38,830368.0
P1,C50,1000074.0
P1,C27,733180.0
P1,C25,798908.0
P1,C32,685576.0
P1,C26,681020.0
P1,C1,273346.0
P1,C6,551152.0
P1,C9,638100.0
P2,C48,315047.0
P2,C4,324635.0
P2,C58,214456.0
P2,C20,507080.0
P2,C21,185390.0
P2,C17,530320.0
P2,C29,410039.0
P2,C13,463076.0
P2,C30,443457.0
P2,C16,328925.0
P2,C59,370649.0
P2,C5,160120.0
P2,C24,267034.0
P2,C7,531385.0
P2,C18,189040.0
P2,C11,432831.0
P2,C54,306391.0
P2,C33,165142.0
P2,C3,326333.0
P2,C8,204042.0
P2,C40,381169.0
P2,C41,508087.0
P2,C47,225924.0
P2,C46,132164.0
P2,C19,176183.0
P2,C10,517422.0
P2,C34,119674.0
P2,C49,378836.0
P2,C2,537466.0
P2,C53,413028.0
P2,C35,172565.0
P2,C14,665086.0
P2,C45,387618.0
P2,C56,208705.0
P2,C36,189256.0
P2,C39,359587.0
P2,C60,330005.0
P2,C44,189828.0
P2,C43,438977.0
P2,C51,158485.0
P2,C55,124384.0
P2,C28,360741.0
P2,C31,225757.0
P2,C57,354174.0
P2,C15,201629.0
P2,C37,308519.0
P2,C52,364116.0
P2,C23,503480.0
P2,C22,448296.0
P2,C12,622849.0
P2,C42,446452.0
P2,C38,415184.0
P2,C50,500037.0
P2,C27,366590.0
P2,C25,399454.0
P2,C32,342788.0
P2,C26,340510.0
P2,C1,136673.0
P2,C6,275576.0
P2,C9,319050.0
P3,C48,315047.0
P3,C4,324635.0
P3,C58,214456.0
P3,C20,507080.0
P3,C21,185390.0
P3,C17,530320.0
P3,C29,410039.0
P3,C13,463076.0
P3,C30,443457.0
P3,C16,328925.0
P3,C59,370649.0
P3,C5,160120.0
P3,C24,267034.0
P3,C7,531385.0
P3,C18,189040.0
P3,C11,432831.0
P3,C54,306391.0
P3,C33,165142.0
P3,C3,326333.0
P3,C8,204042.0
P3,C40,381169.0
P3,C41,508087.0
P3,C47,225924.0
P3,C46,132164.0
P3,C19,176183.0
P3,C10,517422.0
P3,C34,119674.0
P3,C49,378836.0
P3,C2,537466.0
P3,C53,413028.0
P3,C35,172565.0
P3,C14,665086.0
P3,C45,387618.0
P3,C56,208705.0
P3,C36,189256.0
P3,C39,359587.0
P3,C60,330005.0
P3,C44,189828.0
P3,C43,438977.0
P3,C51,158485.0
P3,C55,124384.0
P3,C28,360741.0
P3,C31,225757.0
P3,C57,354174.0
P3,C15,201629.0
P3,C37,308519.0
P3,C52,364116.0
P3,C23,503480.0
P3,C22,448296.0
P3,C12,622849.0
P3,C42,446452.0
