group,variable,value
P1,C48,333600.0
P1,C4,346089.0
P1,C58,256123.0
P1,C20,543454.0
P1,C21,223858.0
P1,C17,548411.0
P1,C29,439500.0
P1,C13,483369.0
P1,C30,464404.0
P1,C16,372944.0
P1,C59,400132.0
P1,C5,171956.0
P1,C24,288526.0
P1,C7,550293.0
P1,C18,228824.0
P1,C11,453321.0
P1,C54,328515.0
P1,C33,180159.0
P1,C3,337775.0
P1,C8,220702.0
P1,C40,399915.0
P1,C41,559414.0
P1,C47,242322.0
P1,C46,146120.0
P1,C19,191716.0
P1,C10,566774.0
P1,C34,131690.0
P1,C49,399450.0
P1,C2,560795.0
P1,C53,431337.0
P1,C35,183938.0
P1,C14,691627.0
P1,C45,398310.0
P1,C56,226972.0
P1,C36,194181.0
P1,C39,396723.0
P1,C60,346144.0
P1,C44,196477.0
P1,C43,454246.0
P1,C51,172233.0
P1,C55,133193.0
P1,C28,370925.0
P1,C31,239665.0
P1,C57,370148.0
P1,C15,212855.0
P1,C37,324638.0
P1,C52,379589.0
P1,C23,553128.0
P1,C22,468221.0
P1,C12,647457.0
P1,C42,468487.0
P1,C38,425852.0
P1,C50,544387.0
P1,C27,393215.0
P1,C25,414555.0
P1,C32,369970.0
P1,C26,354144.0
P1,C1,148280.0
P1,C6,283117.0
P1,C9,332857.0
P2,C48,37141.0
P2,C4,23424.0
P2,C58,12660.0
P2,C20,43162.0
P2,C21,26585.0
P2,C17,36904.0
P2,C29,26207.0
P2,C13,36633.0
P2,C30,27313.0
P2,C16,30879.0
P2,C59,42470.0
P2,C5,24454.0
P2,C24,11975.0
P2,C7,122923.0
P2,C18,10868.0
P2,C11,33219.0
P2,C54,26607.0
P2,C33,11119.0
P2,C3,34258.0
P2,C8,22857.0
P2,C40,37000.0
P2,C41,89328.0
P2,C47,43886.0
P2,C46,10159.0
P2,C19,31952.0
P2,C10,55757.0
P2,C34,16015.0
P2,C49,98002.0
P2,C2,32777.0
P2,C53,20247.0
P2,C35,20858.0
P2,C14,45008.0
P2,C45,50585.0
P2,C56,12089.0
P2,C36,62572.0
P2,C39,24072.0
P2,C60,30009.0
P2,C44,42258.0
P2,C43,39463.0
P2,C51,15418.0
P2,C55,28644.0
P2,C28,62498.0
P2,C31,25352.0
P2,C57,60403.0
P2,C15,18726.0
P2,C37,45602.0
P2,C52,27866.0
P2,C23,33089.0
P2,C22,66225.0
P2,C12,49369.0
P2,C42,27540.0
P2,C38,37468.0
P2,C50,27324.0
P2,C27,49806.0
P2,C25,44653.0
P2,C32,48440.0
P2,C26,27349.0
P2,C1,9700.0
P2,C6,62652.0
P2,C9,29807.0
P3,C48,75083.0
P3,C4,14255.0
P3,C58,11222.0
P3,C20,38888.0
P3,C21,9383.0
P3,C17,36919.0
P3,C29,37312.0
P3,C13,51227.0
P3,C30,37232.0
P3,C16,28330.0
P3,C59,57285.0
P3,C5,8802.0
P3,C24,30398.0
P3,C7,18008.0
P3,C18,9234.0
P3,C11,31338.0
P3,C54,39064.0
P3,C33,6340.0
P3,C3,35777.0
P3,C8,8642.0
P3,C40,36268.0
P3,C41,8175.0
P3,C47,11847.0
P3,C46,12453.0
P3,C19,6668.0
P3,C10,55349.0
P3,C34,11148.0
P3,C49,31990.0
P3,C2,68674.0
P3,C53,59371.0
P3,C35,7559.0
P3,C14,60714.0
P3,C45,26747.0
P3,C56,5551.0
P3,C36,10407.0
P3,C39,25100.0
P3,C60,15568.0
P3,C44,18613.0
P3,C43,23726.0
P3,C51,5840.0
P3,C55,13184.0
P3,C28,20992.0
P3,C31,27918.0
P3,C57,24117.0
P3,C15,14635.0
P3,C37,63090.0
P3,C52,31279.0
P3,C23,56037.0
P3,C22,22828.0
P3,C12,61159.0
P3,C42,31294.0
P3,C38,28994.0
P3,C50,55805.0
P3,C27,41569.0
P3,C25,97999.0
P3,C32,20776.0
P3,C26,36971.0
P3,C1,11391.0
P3,C6,36529.0
P3,C9,18202.0
P4,C48,58554.0
P4,C4,109399.0
